path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/1-0Gpa	md-amorphous	Sb	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/2-2%	md-amorphous	Sb	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/3-5%	md-amorphous	Sb	300	300	77497	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/1-Sb/temperature/1-300k	md-amorphous	Sb	300	300	77497	300.0	300.0	50
nscc1741_XM/xumeng/1-PCM/1-Sb/temperature/2-400k	md-amorphous	Sb	300	300	77497	400.0	400.0	50
nscc1741_XM/xumeng/1-PCM/1-Sb/vdos/1-vdos-0-5000	md-amorphous	Sb	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/1-Sb/vdos/2-vdos-5000	md-amorphous	Sb	300	300	77497	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/2-Ge15Sb85/vdos/1-0-3000	md-amorphous	Ge Sb	45 255	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/7-GeSe/22-300k	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/1-PCM/7-GeSe/temperature/1-300k	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	100
nscc1741_XM/xumeng/1-PCM/7-GeSe/temperature/2-400k	md-amorphous	Ge Se	150 150	300	77508	400.0	400.0	100
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	10000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf2	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf-5000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf-5000/vacf-5000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf-5000-2	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	5000
