path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/8-Sb-X/6-Sn/1-PBE	-1			0	0.50	33303	Sn Sb	45 255
xqd/8-Sb-X/6-Sn/2-PBE0	-1			0	0.50	33303	Sn Sb	45 255
xqd/8-Sb-X/6-Sn/3-bond/1-opt	2			300	0.50	523	Sn Sb	1 1
xqd/8-Sb-X/6-Sn/3-bond/2-scf	-1			0	0.50	523	Sn Sb	1 1
xqd/8-Sb-X/0-Sb/0-PBE	-1			0	0.50	33292	Sb	300
xqd/8-Sb-X/0-Sb/2-bond/2-scf	-1			0	0.50	512	Sb	2
xqd/8-Sb-X/0-Sb/2-bond/1-opt	2			300	0.50	512	Sb	2
xqd/8-Sb-X/2-Zn/4-bond/2-scf	-1			0	0.50	523	Zn Sb	1 1
xqd/8-Sb-X/2-Zn/4-bond/1-opt	2			300	0.50	523	Zn Sb	1 1
xqd/8-Sb-X/2-Zn/1-PBE	-1			0	0.50	33303	Zn Sb	45 255
xqd/8-Sb-X/2-Zn/2-PBE0	-1			0	0.50	33303	Zn Sb	45 255
xqd/8-Sb-X/5-In/1-PBE	-1			0	0.50	33303	In Sb	45 255
xqd/8-Sb-X/5-In/2-PBE0	-1			0	0.50	33303	In Sb	45 255
xqd/8-Sb-X/5-In/3-bond/2-scf	-1			0	0.50	523	In Sb	1 1
xqd/8-Sb-X/5-In/3-bond/1-opt	2			300	0.50	523	In Sb	1 1
xqd/8-Sb-X/9-Y/0-opt	2			300	0.50	33303	Y Sb	45 255
xqd/8-Sb-X/9-Y/1-PBE	-1			0	0.50	33303	Y Sb	45 255
xqd/8-Sb-X/9-Y/2-PBE0	-1			0	0.50	0	Y Sb	45 255
xqd/8-Sb-X/9-Y/5-bond/1-opt	2			300	0.50	523	Y Sb	1 1
xqd/8-Sb-X/9-Y/5-bond/2-scf	-1			0	0.50	523	Y Sb	1 1
xqd/8-Sb-X/9-Y/4-PBE0	-1			0	0.50	33303	Y Sb	45 255
xqd/8-Sb-X/10-Zr/0-opt	2			300	0.50	33303	Zr Sb	45 255
xqd/8-Sb-X/10-Zr/1-PBE	-1			0	0.50	33303	Zr Sb	45 255
xqd/8-Sb-X/10-Zr/2-PBE0	-1			0	0.50	0	Zr Sb	45 255
xqd/8-Sb-X/10-Zr/4-PBE0	-1			0	0.50	33303	Zr Sb	45 255
xqd/8-Sb-X/10-Zr/5-bond/1-opt	2			300	0.50	523	Zr Sb	1 1
xqd/8-Sb-X/10-Zr/5-bond/2-scf	-1			0	0.50	523	Zr Sb	1 1
xqd/8-Sb-X	-1			0	0.50	0		
xqd/8-Sb-X/7-Sc/2-PBE0	-1			0	0.50	33303	Sc Sb	45 255
