path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
yyf/5-O/6-models/STRUCTURE_38/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_42/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_46/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_1/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_1/9-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_4/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_5/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_8/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_10/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_14/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_18/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_21/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_25/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_29/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_30/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_39/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_40/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_49/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_50/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_6/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_7/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_9/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_11/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_13/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_15/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_17/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_19/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_20/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_22/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_24/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_26/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_28/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_31/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_33/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_35/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_37/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_41/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_43/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_44/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_45/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_47/3-opt	opt	In O	16 24	40	4703			1000
